Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	-1.111111111	0
1987	0	1.730769231	-13
1988	5.034482759	4.307692308	0
1989	0	0	0
1990	7.111111111	5.193548387	0
1991	4.166666667	2.208333333	4.2
1992	4.176470588	3.285714286	6.428571429
1993	1	4.794117647	4.5
1994	2.375	4.885714286	3.5
1995	4.692307692	5.581818182	8.5
1996	0	3.102564103	0
1997	3	0.947368421	0
1998	2.625	4.553846154	1.5
1999	4.6	5.208333333	6.142857143
2000	1.666666667	3.064516129	4
2001	1.888888889	4.311111111	6.666666667
2002	5	4.355555556	1.5
2003	5.818181818	5.078947368	3.125
2004	-5.5	3.978723404	0
2005	0.4	4.052631579	0
2006	0	1	-0.25
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
