Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	-0.666666667	0
2001	5	2.5	1.375
2002	2.157894737	2.837209302	1.75
2003	2.5	3.703703704	4.636363636
2004	1.25	3.870967742	4.083333333
2005	4.090909091	3.486486486	4.25
2006	2.375	3.808510638	2.571428571
2007	-0.333333333	2.913043478	3.9
2008	4.333333333	3.26	1.5
2009	1.833333333	3.441860465	3.8
2010	1	2.421052632	4.833333333
2011	-5	2.473684211	2.142857143
2012	-7	1.166666667	2.2
2013	0	0	0
2014	0	0	0
2015	0	0	0
