Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	-4	0
1972	-0.2	2	-4
1973	2.441176471	0.769230769	3.222222222
1974	4.72	3.117647059	1.533333333
1975	5.225	2.823529412	3.2
1976	6.08	2	9
1977	7.481481481	4.230769231	6.714285714
1978	9.65	4.5	7.571428571
1979	8.48	5.947368421	7.142857143
1980	9.347826087	6.782608696	8
1981	8.529411765	6.285714286	6
1982	0	0	0
1983	3.5	0	0
1984	-8	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	-7	0	0
1992	-7.5	-6.5	0
1993	0	-3	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
