Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	-0.4	-2.25	4.222222222
1985	1.357142857	4.333333333	4.785714286
1986	4.714285714	4.178571429	6.454545455
1987	6.083333333	3.666666667	3.454545455
1988	2.8	4.631578947	5.538461538
1989	0	0	2
1990	1.916666667	3.8	4.083333333
1991	3.923076923	3.318181818	4.571428571
1992	-0.363636364	3.333333333	0.666666667
1993	0.545454545	1.894736842	4.111111111
1994	0.833333333	3	2.285714286
1995	2.2	3.222222222	4.363636364
1996	0.222222222	4	6
1997	1.285714286	1.857142857	4.111111111
1998	1.5	0.714285714	-2
1999	0	0	1.833333333
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
