Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0.277777778	0	0
1996	2.42	-0.75	-2
1997	1.594594595	1.861111111	0
1998	3.315789474	-0.346153846	-1.25
1999	0.884615385	0.192307692	2.666666667
2000	2.333333333	0.5	-1.333333333
2001	2.192307692	0.608695652	-2
2002	3.585365854	0.424242424	-6
2003	3.428571429	1.516129032	0
2004	3	1.75	3.5
2005	1.32	0.44	0
2006	0.896551724	-0.090909091	0
2007	2.4	0.310344828	-2
2008	0	-0.037037037	0
2009	-1	-2.333333333	0
2010	-3.25	-2.666666667	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
