Year	Clay	Hard	Grass
1968	3.833333333	0	0
1969	2.181818182	4	2.571428571
1970	4.733333333	2.571428571	1.25
1971	6.033333333	4.344827586	0.8
1972	5.739130435	4.085714286	6.111111111
1973	6.983870968	3.068965517	4.692307692
1974	5.666666667	-1.5	3.714285714
1975	4.787878788	3.458333333	4
1976	3.176470588	5.85	6.142857143
1977	4.25	2.733333333	0.888888889
1978	3.473684211	2.461538462	2.5
1979	0.545454545	1.866666667	0
1980	0.714285714	1.666666667	5
1981	0.222222222	1.388888889	-2.4
1982	0	0	0
1983	-1.2	-0.2	-4
1984	-5.333333333	-3.625	0
1985	-6.5	-3	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
