Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0.454545455	1.6	0
1979	2.393939394	3.526315789	-10
1980	4.254901961	4.484848485	3.875
1981	5.547169811	6.804878049	-1
1982	6	4.5	0
1983	6.315789474	6.421052632	4.470588235
1984	5.631578947	4	2.5
1985	6.875	6.46875	3
1986	7.555555556	6.225806452	4.142857143
1987	6.8	6.766666667	4.166666667
1988	5	6.7	4.166666667
1989	7.238095238	8.297297297	5.545454545
1990	0	5.037037037	5
1991	0.8	4.025641026	0
1992	2.933333333	4.025641026	-0.8
1993	1.272727273	1.133333333	-0.333333333
1994	0.5	2.527777778	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0

