Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	-5	-8	0
1988	1.5	0.454545455	0
1989	0	0	0
1990	3	2.791666667	4
1991	4.545454545	4.022222222	4.4
1992	7	4.609756098	5.333333333
1993	7.846153846	4.4375	5
1994	4.35	2.56	2.2
1995	5	3.721311475	-3
1996	3.083333333	1.588235294	0.75
1997	0.625	2.361111111	-0.6
1998	0.210526316	-0.571428571	-5
1999	1.8	0.653846154	1.333333333
2000	0	-1.222222222	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0

