Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0.6	-10
1971	-1.2	2.409090909	-3.5
1972	2.545454545	4.151515152	2.769230769
1973	2.818181818	6.31372549	4.764705882
1974	6.166666667	5.565217391	6.535714286
1975	5.210526316	5.866666667	6.3125
1976	5.965517241	5.458333333	7
1977	4.428571429	6.5625	5.25
1978	5.5	6.684210526	5.923076923
1979	5.133333333	5.466666667	5.333333333
1980	4.708333333	6.875	7.666666667
1981	4.071428571	5.846153846	5.833333333
1982	0.5	4	3.5
1983	8	5.1	6
1984	4.6	5.794117647	3.75
1985	4.357142857	3.125	4
1986	0	3.419354839	4.142857143
1987	5.4	4.69047619	2.75
1988	0	5.628571429	3.428571429
1989	0	0	0
1990	0	-4	0
1991	1	0.9	4.666666667
1992	-1.25	0.8	-4
1993	-4.5	-0.666666667	0
1994	0	-4	0
1995	0	-4	2
1996	-6	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
