Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	2	1	1
1977	2.380952381	1.555555556	5.125
1978	2.565217391	3.5	3
1979	5.142857143	5.695652174	2.818181818
1980	4	4.941176471	6.388888889
1981	5.875	6.923076923	5.357142857
1982	4.2	5.090909091	6.769230769
1983	5.888888889	5.5	6.444444444
1984	7.125	6.833333333	8.307692308
1985	4.875	6.576923077	4
1986	0	4.444444444	0
1987	1.666666667	2.363636364	0
1988	5.2	3.684210526	3
1989	4.3636363644.243	2
1990	0	4.222222222	0.6
1991	-4.5	2.214285714	3.4
1992	-0.2	2.954545455	4.1
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0


