Year	Clay	Hard	Grass
1968	5.875	3	6
1969	5.833333333	5.333333333	3.928571429
1970	0	2.454545455	5.476190476
1971	3.84	1.4	4.7
1972	2.538461538	3.588235294	6.333333333
1973	1.714285714	3.117647059	5.75
1974	1.5	5.318181818	3.076923077
1975	4.25	1.266666667	3.2
1976	1	0.266666667	4.111111111
1977	0	-2	2.571428571
1978	-1	1.111111111	1.181818182
1979	0	-0.142857143	0
1980	0	-5.5	0
1981	0	-7	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
