Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	2.4	-7.5	0
2000	2.76	-0.388888889	-4
2001	5.078947368	1.233333333	3
2002	3.296296296	0.911764706	1
2003	4.484848485	2.780487805	3.75
2004	-1	1.409090909	-1
2005	2.103448276	0.387096774	2.285714286
2006	1.375	-0.45	2.5
2007	2.233333333	-1.368421053	1.833333333
2008	1.5	1.565217391	-1.5
2009	2.086956522	-1.263157895	2.4
2010	3.852941176	1.75	-6
2011	1.8	0.125	0
2012	-1.75	-6	-11
2013	0	0	0
2014	0	0	0
2015	0	0	0
