Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	-8	0
1998	0	0.538461538	-0.666666667
1999	2.555555556	3.413793103	3
2000	0.75	3.765957447	2.333333333
2001	2.933333333	4.275862069	4.642857143
2002	2.266666667	2.85	6.428571429
2003	3	5.137931034	-1.75
2004	1.210526316	4.333333333	3.444444444
2005	0	4.303030303	3.222222222
2006	3.2	2.096774194	3.9
2007	2.714285714	2.068965517	4.2
2008	4.666666667	2.111111111	3.5
2009	3	1.09375	5.375
2010	-0.545454545	1.090909091	5.111111111
2011	0	0.090909091	1
2012	-6	-1.375	0.8
2013	-3.666666667	-0.24	3
2014	-5.2	0.263157895	3.333333333
2015	-2	0.25	-5.333333333
