Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	-0.285714286	2.214285714	-4
1999	-0.578947368	0.206896552	0
2000	2.275862069	1.717391304	0.4
2001	0.909090909	2.102564103	2.571428571
2002	2.956521739	1.529411765	2
2003	1	1.571428571	0
2004	1.857142857	2.297297297	-4
2005	2.666666667	2.5625	2.125
2006	0.090909091	1.193548387	0.5
2007	1	-0.52	0.6
2008	0.2	-0.5	3
2009	-0.375	0.290322581	-4
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
