Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	-2.25	0.1	0.1
1981	-0.75	2.5	-0.2
1982	3.5	0.1	0.1
1983	6.318181818	6.045454545	6.111111111
1984	3.148148148	4.4375	4.375
1985	4.522727273	4.411764706	3.142857143
1986	4.952380952	3.76	2.75
1987	5.972972973	4.142857143	4
1988	5.35	6.193548387	3.2
1989	3.2000	4.2001	1
1990	0.1	2.347826087	0
1991	-2	1.571428571	-4
1992	-2	0	-2
1993	-2	-2.833333333	0
1994	-1.2	-0.5	0
1995	-1.636363636	0.125	2.666666667
1996	1.333333333	-5	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0



