date	ALG	ARG	ARM	AUS	AUT	AZE	BAH	BAR	BEL	BEN	BER	BIH	BLR	BOL	BRA	BUL	CAN	CHI	CHN	CIV	COL	CRC	CRO	CUB	CYP	CZE	DEN	DOM	ECU	EGY	ESA	ESP	EST	FIN	FRA	GBR	GEO	GER	GRE	HAI	HKG	HUN	INA	IND	IRI	IRL	ISR	ITA	JAM	JPN	KAZ	KEN	KOR	KUW	LAT	LTU	LUX	MAR	MAS	MDA	MEX	MKD	MON	NED	NGR	NIG	NOR	NZL	PAK	PAR	PER	PHI	POL	POR	PUR	QAT	ROU	RSA	RUS	SEN	SLO	SRB	SRI	SUI	SVK	SWE	THA	TOG	TPE	TUN	TUR	UAE	UKR	UNK	URU	USA	UZB	VEN	VIE	YUG	ZIM
1968	0	-9	0	1.656565657	-7.333333333	0	0	0	-7.888888889	0	0	0	0	-3	1.289473684	0	-4.666666667	-0.5	0	0	-6.571428571	-9	2.96875	0	0	0.514285714	0.157894737	0	-5.333333333	-3.5	0	1.47761194	0	-7	-2.484126984	-2.477272727	0	-0.283783784	-1.6	0	0	0.448275862	-4	-2.375	0	-7.2	0	-1.548387097	-5.8	-3.705882353	0	0	0	0	0	0	0	0	0	0	-1.631578947	0	0	4.137931034	0	0	0	-3.444444444	-5	0	-4.9	-2.666666667	-3.666666667	0	-2.5	0	2.565217391	1.5	1.361111111	0	0	0.857142857	0	-4	0	-0.545454545	0	0	0	0	0	0	3.333333333	-8	0	0.009876543	0	-0.25	0	0	-2
1969	0	-2.785714286	0	1.951310861	-3	0	0	0	-5.9	0	0	0	0	-6.333333333	0.142857143	0	-3.22	-1.080645161	0	0	-4.666666667	0	2.326923077	0	0	0.684210526	-2	0	-0.818181818	1.1875	0	2.551724138	0	0	-2.308176101	-1.170940171	0	-1.06557377	-4.142857143	0	0	1.214285714	0	-2.066666667	-4	-12	-15	-3.848484848	-3	-3.888888889	0	0	0	0	0	0	0	0	0	0	-2.176470588	0	0	3.659574468	0	0	0	-2.4	0	0	-4.75	0	-3.461538462	0	-2	0	1.08	-1.196261682	-1	0	0	-6.4	0	-4.428571429	0	-1.925925926	0	0	0	0	0	0	-2	-7.75	0	-0.214007782	-11	-0.833333333	0	-11	2
1970	0	-3.947368421	0	#VALUE!	-1.894736842	0	0	0	-3.916666667	0	0	0	0	-6.25	0.176470588	0	-5.090909091	-0.867647059	0	0	-8.8	0	2.455555556	0	0	1.264705882	-3.272727273	0	-4.15	-2.05	0	1.185185185	0	-5	-2.166666667	-0.951219512	0	-1.717948718	0	0	0	0	0	-3.764705882	-10	0	0	-2.172413793	-4.0625	-5.222222222	0	0	0	0	0	0	0	0	0	0	-2.53125	0	0	2.297297297	0	0	0	0.441176471	-2.75	0	-3.25	0	-2.222222222	0	0	0	3.253012048	-0.062068966	-0.833333333	0	-4	0.642857143	0	-3.166666667	0	-3.5	0	0	0	0	0	0	0	-6.52	0	#VALUE!	0	0	0	0	-7
1971	0	-4.764705882	0	-0.104638619	-4.142857143	0	0	0	-2.6	0	0	0	0	0	0.685714286	0	-1.5625	0.27173913	0	0	-6	0	1.477941176	0	0	0.571428571	-1.9375	0	-6.111111111	-1.142857143	0	0.547945205	0	-6.333333333	0.373737374	-0.817777778	0	-2.757575758	-3.2	0	0	-0.04	0	-4.388888889	0	0	0	-2.860465116	-3	-2.780487805	0	0	0	0	0	0	0	0	0	0	-1.552631579	0	0	1.986842105	0	0	0	-0.62195122	-0.12	0	0.318181818	0	-0.090909091	0	0	0	2.854368932	-0.811403509	1.782608696	0	0	-3.888888889	0	-7.333333333	0	-3.097560976	0	0	0	0	0	0	-4.5	-7.413793103	0	-0.009507347	0	-4	0	0	-1.428571429
1972	0	-1.731707317	0	-0.40302267	-2.1	0	0	0	0.025	0	0	0	0	-5	-1.818181818	0	-4.238095238	-0.5	0	0	-0.272727273	0	-0.474576271	0	0	0.307189542	-2.666666667	0	-11	-1.424242424	0	1.908256881	0	-4	-0.366037736	-1.638655462	0	-1.013157895	-1.5	0	0	-1.515625	0	-1.583333333	0	0	0	-1.769230769	0	-1.214285714	0	0	0	0	0	0	0	0	0	0	-2.565217391	0	0	0.892307692	0	0	0	-1.696969697	-1.529411765	-9	-1	0	-3.75	0	0	0	3.482517483	-0.886075949	2.230769231	0	0	-2	0	-6.5	0	-2.25	0	0	0	0	0	0	0	-5.75	0	-0.482824427	0	-1.583333333	0	0	-2.5
1973	0	-1.272727273	0	-0.222338205	-2.216216216	0	0	0	-0.333333333	0	0	0	0	-7.5	-3.115384615	0	-4	-1.258992806	0	0	-0.090909091	0.5	0.702702703	0	0	-0.272727273	-4.72	0	-10	-3.448275862	0	0.515837104	0	-7	-0.842622951	-0.888217523	0	0.582938389	-1.538461538	0	-9.5	-1.67	0	-0.615384615	-5.6	0	0	-0.254716981	-4.5	-2.223880597	0	0	0	0	0	0	0	0	0	0	-0.873563218	0	0	1.931818182	0	0	0	-0.111111111	-2.019607843	-7	-5.714285714	-6.285714286	-1.333333333	0	-3.75	0	2.828729282	-1.673469388	0.185185185	2	0	-1.0625	0	-1.285714286	0	-0.481707317	0	0	0	0	0	-5	0	-6.606060606	0	-0.291917168	0	-4	0	-9	0
1974	0	2.552631579	-7	-0.160734788	-1.405405405	0	0	0	1.857142857	0	0	0	0	-4.2	-1.24	0	-5.5	-0.960451977	0	0	-2.675675676	0	-1.982758621	0	0	-0.546448087	-5	0	-7	1.714285714	0	-0.030418251	0	-5	#VALUE!	-1.771784232	0	-1.319248826	-4.5	0	0	-0.365384615	-5	-1.569343066	-6.333333333	0	-6	-0.584745763	-2	-2.590163934	0	0	0	0	0	0	0	-2	0	0	#VALUE!	0	0	0.3375	0	0	0	0.034013605	-3.851851852	-2.6	-7.5	-5	-1.833333333	0	0	0	1.009615385	-1.625570776	1.634920635	0	0	-3.230769231	0	-2.083333333	0	0.159574468	0	0	0	0	0	-7	0	-6.166666667	0	-0.302725118	0	-3.266666667	0	0	-3.181818182
1975	0	1.331521739	0	-0.520043337	-1.053571429	0	0	0	-3.6	0	0	0	0	-2.956521739	-1.674698795	0	-6	0.37254902	0	0	-0.6875	0	-0.324324324	0	0	-0.575418994	-5	0	0	-0.755555556	0	0.875379939	0	-5.5	-0.593301435	-2.169381107	0	-0.992565056	-10	0	0	-1.363636364	0	-1.524193548	-3.5	-4.5	0	-0.41011236	0	-3.428571429	0	0	0	0	0	0	0	0	0	0	-0.151079137	0	-7	-0.735294118	0	0	0	0.048275862	-1.818181818	-0.261904762	0	-9.5	0.796610169	0	-1	0	2.393442623	-1.452898551	-1.098039216	0	0	-0.777777778	0	-4.833333333	0	-0.735632184	0	0	0	0	0	-9	0	-5.583333333	0	-0.86927306	0	-4.32	0	-3.833333333	-4.583333333
1976	-4	0.990950226	0	-0.802966102	-1.842105263	0	0	0	-1.666666667	0	0	0	0	-1.730769231	-2.133333333	0	-5.857142857	-0.089041096	0	0	-0.946666667	0	0.733333333	0	0	-0.652694611	-5	0	0	-1.025	0	0.728971963	0	-3.5	-1.04784689	-1.378181818	0	-1.372093023	-11	0	-6.5	0.528571429	0	-2.745762712	-6	0	-3	1.061538462	0	-1.464285714	0	0	0	0	0	0	0	-8	0	0	1.569105691	0	-10	-2.586206897	0	-7.5	-4	-0.377142857	-0.586206897	0.985074627	0	-5	1.782608696	0	0	0	1.893939394	-1.356890459	-1.62962963	0	0	-3.35	0	-3.307692308	0	-0.37037037	0	0	0	0	0	0	0	-2.875	0	-0.662330905	0	-2.444444444	0	0	0
1977	0	1.745535714	0	-0.683070866	-1.808510638	0	-10	0	-1.333333333	0	0	0	0	-3.421052632	-2.291666667	0	-3.888888889	0.200934579	0	0	-1.703125	0	0.415584416	0	0	-0.540669856	-4	0	-2.380952381	-0.657142857	0	0.430894309	0	-4.666666667	-0.777385159	-0.910216718	0	-1.107758621	-0.5	0	0	1.433333333	0	-2.140186916	-4.333333333	-14	0	1.305389222	0	-3.75	0	0	0	0	0	0	0	-4	0	0	0.6	0	0	-1.216216216	0	0	-9	-0.525179856	-5	0.178082192	-3	-4.5	1.617977528	-4	0	0	0.536585366	-1.627218935	-2	0	0	-0.1875	0	-4.111111111	0	-0.239583333	0	0	0	0	0	-8	0	-4	0	-0.433304647	0	-2.375	0	-3.25	0
