Year	ALG	ARG	ARM	AUS	AUT	AZE	BAH	BAR	BEL	BEN	BER	BIH	BLR	BOL	BRA	BUL	CAN	CHI	CHN	CIV	COL	CRC	CRO	CUB	CYP	CZE	DEN	DOM	ECU	EGY	ESA	ESP	EST	FIN	FRA	GBR	GEO	GER	GRE	HAI	HKG	HUN	INA	IND	IRI	IRL	ISR	ITA	JAM	JPN	KAZ	KEN	KOR	KUW	LAT	LTU	LUX	MAR	MAS	MDA	MEX	MKD	MON	NED	NGR	NIG	NOR	NZL	PAK	PAR	PER	PHI	POL	POR	PUR	QAT	ROU	RSA	RUS	SEN	SLO	SRB	SRI	SUI	SVK	SWE	THA	TOG	TPE	TUN	TUR	UAE	UKR	UNK	URU	USA	UZB	VEN	VIE	YUG	ZIM
1968	0	-3	0	0.472222222	-1.777777778	0	0	0	-1.888888889	0	0	0	0	-1	0.157894737	0	-1	0.157894737	0	0	-1.857142857	-2.5	0.8125	0	0	-0.028571429	0.157894737	0	-1	-1	0	0.552238806	0	-2	-0.682539683	-0.727272727	0	-0.216216216	-0.1	0	0	0	-2	-0.8125	0	-1	0	-0.225806452	-2.2	-0.588235294	0	0	0	0	0	0	0	0	0	0	-0.263157895	0	0	1.068965517	0	0	0	-0.666666667	-1.666666667	0	-0.9	-1.666666667	-0.75	0	-1.5	0	0.869565217	0.341463415	0.5	0	0	0	0	-1.181818182	0	-0.363636364	0	0	0	0	0	0	0.666666667	-2	0	-0.081481481	0	-0.25	0	0	-0.333333333
1969	0	-0.785714286	0	0.531835206	-1.142857143	0	0	0	-1.8	0	0	0	0	-2	0.047619048	0	-0.7	-0.370967742	0	0	-1.666666667	0	0.576923077	0	0	0.131578947	-0.5	0	-0.409090909	0.375	0	0.494252874	0	0	-0.597484277	-0.341880342	0	-0.278688525	-0.857142857	0	0	0.142857143	0	-0.466666667	-2	-3	-3	-0.984848485	-1	-1.222222222	0	0	0	0	0	0	0	0	0	0	-0.529411765	0	0	1.106382979	0	0	0	-0.76	0	0	-1.75	0	-0.923076923	0	-1	0	0.3	-0.168224299	-0.214285714	0	0	-1.6	0	-1.285714286	0	-0.666666667	0	0	0	0	0	0	-1	-2.375	0	-0.068093385	-3	-0.333333333	0	-3	0.333333333
1970	0	-1.157894737	0	0.287795993	-0.789473684	0	0	0	-1.25	0	0	0	0	-1.75	0.058823529	0	-1.272727273	-0.205882353	0	0	-2	0	0.711111111	0	0	0.323529412	-0.681818182	0	-1	-0.45	0	0.296296296	0	-2	-0.596153846	-0.227642276	0	-0.564102564	0	0	0	0	0	-1.147058824	-3	0	0	-0.655172414	-1.3125	-1.777777778	0	0	0	0	0	0	0	0	0	0	-0.6875	0	0	0.594594595	0	0	0	0.029411765	-1.125	0	-1	0	0	0	0	0	0.855421687	0.096551724	-0.333333333	0	-1	0.071428571	0	-0.916666667	0	-1	0	0	0	0	0	0	0	-1.52	0	-0.09037037	0	0	0	0	-1.5
1971	0	-1.470588235	0	-0.089536138	-1.071428571	0	0	0	-0.65	0	0	0	0	0	0.2	0	-0.4375	0.054347826	0	0	-2.333333333	0	0.360294118	0	0	0.113095238	-0.59375	0	-1.888888889	-0.183673469	0	0.164383562	0	-1	0.151515152	-0.328888889	0	-1.03030303	-1.2	0	0	-0.14	0	-1.444444444	0	0	0	-0.720930233	-1	-0.804878049	0	0	0	0	0	0	0	0	0	0	-0.578947368	0	0	0.526315789	0	0	0	-0.256097561	-0.16	0	0.227272727	0	0.181818182	0	0	0	0.786407767	-0.197368421	0.652173913	0	0	-0.888888889	0	-1.833333333	0	-0.780487805	0	0	0	0	0	0	-0.5	-1.965517241	0	0.012964564	0	-2	0	0	-0.5
1972	0	-0.317073171	0	-0.181360202	-0.25	0	0	0	-0.15	0	0	0	0	-2	-0.424242424	0	-1.238095238	-0.116071429	0	0	-0.090909091	0	-0.220338983	0	0	0.071895425	-1.066666667	0	-3	-0.636363636	0	0.536697248	0	-2	-0.060377358	-0.508403361	0	-0.263157895	-0.5	0	0	-0.4375	0	-0.458333333	0	0	0	-0.355769231	0	-0.285714286	0	0	0	0	0	0	0	0	0	0	-0.782608696	0	0	0.076923077	0	0	0	-0.646464646	-0.5	-3	-0.227272727	0	-0.75	0	0	0	1.020979021	-0.274261603	0.769230769	0	0	-0.888888889	0	-2	0	-0.71875	0	0	0	0	0	0	0	-1.5	0	-0.16889313	0	-0.333333333	0	0	-1.5
1973	0	-0.246753247	0	-0.123173278	-0.756756757	0	0	0	-0.133333333	0	0	0	0	-1.5	-1.038461538	0	-1.307692308	-0.345323741	0	0	-0.060606061	0	0.18018018	0	0	-0.095959596	-1.24	0	-2.5	-0.896551724	0	0.104072398	0	-2	-0.17704918	-0.280966767	0	0.274881517	-0.884615385	0	-2	-0.65	0	-0.182692308	-1.8	0	0	-0.028301887	-1.333333333	-0.850746269	0	0	0	0	0	0	0	0	0	0	-0.298850575	0	0	0.636363636	0	0	0	-0.027777778	-0.647058824	-2	-1.142857143	-2.285714286	-0.777777778	0	-1.5	0	0.756906077	-0.489795918	0.055555556	0.5	0	-0.6875	0	-0.714285714	0	-0.170731707	0	0	0	0	0	-2	0	-1.696969697	0	-0.099532398	0	-1.4	0	-3	0
1974	0	0.723684211	-2	-0.089552239	-0.567567568	0	0	0	-0.142857143	0	0	0	0	-1.2	-0.16	0	-1.5	-0.327683616	0	0	-0.918918919	0	-0.620689655	0	0	-0.174863388	-1.523809524	0	-2	0.410714286	0	-0.038022814	0	-1.666666667	-0.618025751	-0.56846473	0	-0.417840376	-1.6	0	0	-0.211538462	-2	-0.357664234	-2	0	-2	-0.203389831	-0.5	-0.62295082	0	0	0	0	0	0	0	-3	0	0	0.2	0	0	0.1875	0	0	0	-0.006802721	-1.259259259	-1.8	-2.333333333	-2.2	-0.458333333	0	0	0	0.240384615	-0.543378995	0.523809524	0	0	-1.307692308	0	-0.666666667	0	-0.005319149	0	0	0	0	0	-2	0	-1.666666667	0	-0.104265403	0	-1.333333333	0	0	-0.863636364
1975	0	0.494565217	0	-0.179848321	-0.178571429	0	0	0	-1.866666667	0	0	0	0	-1.130434783	-0.590361446	0	-1.3125	0.039215686	0	0	-0.28125	0	-0.040540541	0	0	-0.262569832	-1.75	0	0	-0.466666667	0	0.179331307	0	-1.333333333	-0.100478469	-0.71009772	0	-0.301115242	-2	0	0	-0.218181818	0	-0.370967742	-1	-1	0	-0.028089888	0	-1.116883117	0	0	0	0	0	0	0	0	0	0	0.079136691	0	-4	-0.382352941	0	0	0	0.075862069	-0.606060606	-0.119047619	0	-2	-0.06779661	0	-1	0	0.770491803	-0.423913043	-0.37254902	0	0	-0.305555556	0	-1.333333333	0	-0.17816092	0	0	0	0	0	-2	0	-1.333333333	0	-0.291386683	0	-1.52	0	-1.166666667	-1.666666667
1976	-2	0.28959276	0	-0.288135593	-0.473684211	0	0	0	-0.666666667	0	0	0	0	-0.615384615	-0.633333333	0	-1.428571429	-0.089041096	0	0	-0.36	0	0.226666667	0	0	-0.281437126	-2	0	0	-0.4	0	0.174454829	0	-1.5	-0.392344498	-0.352727273	0	-0.344186047	-2	0	-2	0.071428571	0	-0.838983051	-1.555555556	0	-1	0.328205128	0	-0.517857143	0	0	0	0	0	0	0	-2	0	0	0.414634146	0	-2	-0.75862069	0	-2	-2	-0.034285714	-0.413793103	0.268656716	0	-2	0.434782609	0	0	0	0.636363636	-0.448763251	-0.259259259	0	0	-1.1	0	-1.153846154	0	-0.08994709	0	0	0	0	0	0	0	-0.625	0	-0.232570239	0	-0.814814815	0	0	0
1977	0	0.5	0	-0.24015748	-0.404255319	0	-2	0	-0.333333333	0	0	0	0	-1.052631579	-0.875	0	-1	0.051401869	0	0	-0.5	0	0.155844156	0	0	-0.181818182	-1	0	-0.523809524	-0.114285714	0	0.073170732	0	-2.333333333	-0.247349823	-0.303405573	0	-0.267241379	0	0	0	0.35	0	-0.672897196	-1.333333333	-3	0	0.335329341	0	-0.95	0	0	0	0	0	0	0	-1	0	0	0.247619048	0	0	-0.324324324	0	0	-2	-0.26618705	-1.8	0.191780822	-0.5	-2	0.438202247	-2	0	0	0.170731707	-0.464497041	-0.6875	0	0	-0.21875	0	-1.277777778	0	-0.114583333	0	0	0	0	0	-2	0	-1.5	0	-0.163080895	0	-0.666666667	0	-1	0
