Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	-2.666666667	-2	0
2005	1.8	-3.8	0.333333333
2006	3.777777778	1.045454545	2.5
2007	2.571428571	3.8	2.5
2008	5.052631579	4.056603774	3.428571429
2009	4.619047619	3.671875	4.2
2010	4.692307692	3.58	3.75
2011	6	6.145833333	7.571428571
2012	4.05	6.148148148	5.166666667
2013	5.133333333	5.962962963	5.428571429
2014	5.75	5.52173913	6.285714286
2015	6.352941176	6	6.714285714
