Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	-7	0
1992	0	-6	-6
1993	0	-0.916666667	0.2
1994	-0.625	0.975609756	2.555555556
1995	-2.7	0.78125	1
1996	-0.555555556	2.857142857	3.416666667
1997	3.615384615	2.368421053	3.375
1998	-1.5	3.72	3.8
1999	3.285714286	2.043478261	4.461538462
2000	-0.166666667	0.956521739	4.928571429
2001	2.25	3.279069767	3.166666667
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
