Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	-4	0.6	0
1989	0	0	0
1990	-11	2.914285714	2
1991	-2	4.375	2.375
1992	2.566666667	4	4.888888889
1993	4	5	5.25
1994	4.857142857	5.631578947	5.75
1995	1.125	4.87804878	6.166666667
1996	0.875	4.26	4.2
1997	2.166666667	5.5	7.222222222
1998	1.166666667	3.840909091	4.555555556
1999	-0.285714286	3.481481481	4.75
2000	1	3.323529412	4.916666667
2001	-0.857142857	1.666666667	3.625
2002	0.272727273	2.296296296	0.25
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
