Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	-2	0	0
2003	1.6875	0	2
2004	3.266666667	1.681818182	1
2005	6.64	4.060606061	1
2006	6.333333333	2.6	3.2
2007	6.75	2.80952381	4.6
2008	7.565217391	4.166666667	5.75
2009	5.863636364	3.283018868	0
2010	7.272727273	3.897959184	5.6
2011	6.307692308	3.452380952	4.1
2012	7.625	5	2.25
2013	5.875	4.58974359	-4
2014	6.25	3.92	2.8
2015	4.59375	2.829268293	2.571428571
