Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	0	0	0
1993	0	0	0
1994	0	0	0
1995	0	0	0
1996	0	0	0
1997	0	0	0
1998	-4	0.5	0
1999	-8.333333333	0.153846154	-6
2000	-2.9	1.7	-1
2001	0.571428571	2.142857143	3.333333333
2002	1.75	3.15	1.428571429
2003	4.263157895	4.192307692	6.916666667
2004	5.0625	5.479166667	8.166666667
2005	5.5625	5.823529412	6
2006	5.052631579	6.06779661	7.25
2007	4.052631579	5.18	6.833333333
2008	4.04	4.279069767	6.083333333
2009	4.722222222	4.217391304	6.428571429
2010	3.571428571	4.716981132	4.5
2011	3.6875	4.843137255	6.4
2012	4.6	4.520833333	4.882352941
2013	3.117647059	3.128205128	5.666666667
2014	4.1	4.482758621	5.8
2015	3.647058824	5.261904762	5.416666667
