Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0.166666667	0.272727273	2
1984	3	2.368421053	3.142857143
1985	4.9	3.272727273	5.1
1986	3.933333333	4.891891892	3.375
1987	3.333333333	4.808510638	7.125
1988	3.416666667	4.162162162	4.307692308
1989	0	1	0
1990	-1	4.772727273	7.090909091
1991	3.461538462	4.934782609	6.545454545
1992	1.4	4.342105263	5.333333333
1993	2.739130435	2.666666667	3.333333333
1994	1.4375	4.35	0.4
1995	2	3.027027027	1.75
1996	2.714285714	1.666666667	3
1997	0	0	0
1998	0	0	0
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0



