Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	1	0.25	0
1985	-0.266666667	-1	0
1986	2.148148148	-3.5	0
1987	0.826086957	0.928571429	-6
1988	4.770833333	-2.125	0
1989	0	0	0
1990	3.605263158	2.75	0
1991	2.219512195	-2	0
1992	2.023809524	0.272727273	-7
1993	4.261538462	3.28	-8
1994	4.12195122	2.142857143	-2
1995	5.641791045	1.066666667	0
1996	5.183673469	2.285714286	0
1997	1	2.514285714	-1.5
1998	1.806451613	2	-7
1999	-3.285714286	-1.222222222	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	-5	0
2011	-9	-7	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
