Year	Clay	Hard	Grass
1968	0	0	0
1969	0	0	0
1970	0	0	0
1971	0	0	0
1972	0	0	0
1973	0	0	0
1974	0	0	0
1975	0	0	0
1976	0	0	0
1977	0	0	0
1978	0	0	0
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	0	0	0
1986	0	0	0
1987	0	0	0
1988	0	0	0
1989	0	0	0
1990	0	0	0
1991	0	0	0
1992	-9	-6.5	0
1993	-1.75	0.333333333	0
1994	0.407407407	2.222222222	3.714285714
1995	2.62962963	3.153846154	3.75
1996	3.764705882	3.571428571	0.333333333
1997	0.64	1.48	4.222222222
1998	-0.764705882	1.56097561	1
1999	0	1.956521739	0.75
2000	-0.304347826	2.290322581	0.5
2001	0.157894737	2.611111111	2.428571429
2002	-2.5	0.828571429	3.375
2003	3.1875	-0.192307692	-3.5
2004	0	0	0
2005	0	0	0
2006	0	0	0
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	0	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
